[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] ALTER TABLE `auth_permission` ADD CONSTRAINT `auth__content_type_id_508cf46651277a81_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.040) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth__content_type_id_508cf46651277a81_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE INDEX `auth_permission_417f1b1c` ON `auth_permission` (`content_type_id`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.021) CREATE INDEX `auth_permission_417f1b1c` ON `auth_permission` (`content_type_id`); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permission_group_id_689710a9a73b7457_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.064) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permission_group_id_689710a9a73b7457_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group__permission_id_1f49ccbbdc69d2fc_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.030) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group__permission_id_1f49ccbbdc69d2fc_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE INDEX `auth_group_permissions_0e939a4f` ON `auth_group_permissions` (`group_id`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.021) CREATE INDEX `auth_group_permissions_0e939a4f` ON `auth_group_permissions` (`group_id`); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] CREATE INDEX `auth_group_permissions_8373b171` ON `auth_group_permissions` (`permission_id`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.041) CREATE INDEX `auth_group_permissions_8373b171` ON `auth_group_permissions` (`permission_id`); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_4b5ed4ffdb8fd9b0_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
[09/Mar/2015 17:56:53] DEBUG [django.db.backends:91] (0.045) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_4b5ed4ffdb8fd9b0_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
[09/Mar/2015 17:56:53] DEBUG [django.db.backends.schema:93] ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_33ac548dcf5f8e37_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.033) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_33ac548dcf5f8e37_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE INDEX `auth_user_groups_e8701ad4` ON `auth_user_groups` (`user_id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.021) CREATE INDEX `auth_user_groups_e8701ad4` ON `auth_user_groups` (`user_id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE INDEX `auth_user_groups_0e939a4f` ON `auth_user_groups` (`group_id`); (params [])
